Yakiniku Rikyu;Paseo de la Castellana 15 28046 Madrid;Madrid;40.4281576;-3.6902959;Asiático,DOBLE YUMS,INSIDER,Selección Insider - Recomendaciones locales;9.4;381
Bombey Dreams;Calle Clara del Rey 44 28002 Madrid;Madrid;40.44492950000001;-3.6682271;Indio;9.4;440
Green Tea Sushi & Cocktail - Hotel The Westin Palace;Plaza de las Cortes 7 28014 Madrid;Madrid;40.4154663;-3.6957522;Japonés,INSIDER,Selección Insider - Japoneses;9.1;8449
St. James Ortega y Gasset;Calle de José Ortega y Gasset 83 28006 Madrid;Madrid;40.4300378;-3.6717716;Arrocería,INSIDER;9.1;8140
Chiquito Riz;Calle de Coslada 3 28028 Madrid;Madrid;40.43721;-3.675723199999999;Mediterráneo,INSIDER,Selección Insider - Mediterráneos,Selección Insider - Mariscos;9.1;3846
Fairuz;Calle de Orense 70 28020 Madrid;Madrid;40.4620269;-3.6936646;Libanés,DOBLE YUMS;8.4;2583
Arrayán;Calle Villalar 6 28001 Madrid;Madrid;40.4212387;-3.689716;Mediterráneo,DOBLE YUMS,INSIDER,Selección Insider - Mediterráneos;9.3;885
El Viejo León;Calle de Alfonso X 6 28010 Madrid;Madrid;40.4337464;-3.6920777;Francés;8.9;2416
Sr. Vázquez;Plaza de la Marina Española 28013 Madrid;Madrid;40.4206555;-3.7119077;Mediterráneo,DOBLE YUMS;8.6;593
Sublime Dreams Food;Calle Concepción Jerónima 28 28012 Madrid;Madrid;40.4137838;-3.7070661;Internacional;9.2;592
Living in London;Calle de Núñez de Balboa 76 28006 Madrid;Madrid;40.4318546;-3.6820946;Internacional;9.2;86
La Tená;Calle de Antonio López Aguado 10 28029 Madrid;Madrid;40.4824445;-3.701148;Mediterráneo;9.2;138
Rias Bajas -Clara del Rey-;C/ Alustante 11 ( C/ Clara del Rey 33 posterior) 28002 Madrid;Madrid;40.4425314;-3.6712104;Gallego,INSIDER;9.2;5933
Casa Vecchia;Calle de López de Hoyos 81 Planta baja del Mercado Prosperidad local 9 28002 Madrid;Madrid;40.44446749999999;-3.6742482;Italiano;9.5;213
El Labriego;Calle Veneras 4 28013 Madrid;Madrid;40.4194006;-3.707417;Gallego,DOBLE YUMS;8.5;615
El Jardín del InterContinental;Paseo de la Castellana 49 28046 Madrid;Madrid;40.4361532;-3.6900977;De mercado,DOBLE YUMS,INSIDER,Selección Insider - Terrazas;9.1;187
Bangalore;Calle de Diego de León 63 28006 Madrid;Madrid;40.4347832;-3.675674;Indio,INSIDER,Selección Insider - Terrazas;9.3;3421
